imdb_id|actor
0468569|Christian Bale
0468569|Heath Ledger
0468569|Aaron Eckhart
0468569|Michael Caine
0449088|Johnny Depp
0449088|Orlando Bloom
0449088|Keira Knightley
0449088|Geoffrey Rush
1045658|Bradley Cooper
1045658|Jennifer Lawrence
1045658|Robert De Niro
1045658|Jacki Weaver
1645170|Sacha Baron Cohen
1645170|Anna Faris
1645170|John C
1152836|Christian Bale
1152836|Johnny Depp
1152836|Christian Stolte
1152836|Jason Clarke
0114369|Morgan Freeman
0114369|Brad Pitt
0114369|Kevin Spacey
0114369|Andrew Kevin Walker
0075931|Julie Christie
0075931|Fritz Weaver
0075931|Gerrit Graham
0075931|Berry Kroeger
1375666|Leonardo DiCaprio
1375666|Joseph Gordon-Levitt
1375666|Ellen Page
1375666|Ken Watanabe
2395427|Robert Downey Jr
1197624|Gerard Butler
1197624|Jamie Foxx
1197624|Leslie Bibb
1197624|Colm Meaney
0926084|Daniel Radcliffe
0926084|Emma Watson
0926084|Rupert Grint
0926084|Bill Nighy
3042408|Tom Schilling
3042408|Elyas M'Barek
3042408|Wotan Wilke Möhring
3042408|Antoine Monot Jr
0133093|Keanu Reeves
0133093|Laurence Fishburne
0133093|Carrie-Anne Moss
0133093|Hugo Weaving
0450232|Bruce Willis
0450232|Yasiin Bey
0450232|David Morse
0450232|Jenna Stern
0075686|Woody Allen
0075686|Diane Keaton
0075686|Tony Roberts
0075686|Carol Kane
0099685|Robert De Niro
0099685|Ray Liotta
0099685|Joe Pesci
0099685|Lorraine Bracco
2024469|Liam Neeson
2024469|Julianne Moore
2024469|Scoot McNairy
2024469|Michelle Dockery
0113277|Al Pacino
0113277|Robert De Niro
0113277|Val Kilmer
0113277|Jon Voight
0407887|Leonardo DiCaprio
0407887|Matt Damon
0407887|Jack Nicholson
0407887|Mark Wahlberg
0455782|Richard Gere
0455782|Terrence Howard
0455782|Jesse Eisenberg
0455782|Gordana Vukres
1911553|Jean Reno
1911553|Michaël Youn
1911553|Raphaëlle Agogué
1911553|Julien Boisselier
0119008|Al Pacino
0119008|Johnny Depp
0119008|Michael Madsen
0119008|Bruno Kirby
0111161|Tim Robbins
0111161|Morgan Freeman
0111161|Bob Gunton
0111161|William Sadler
2024432|Jason Bateman
2024432|Melissa McCarthy
2024432|John Cho
