imdb_id|title|year|grade
0033467|Citizen Kane|1941|7
0034583|Casablanca|1942|9
0043265|The African Queen|1951|8
0047478|Seven Samurai|1954|9
0050083|12 Angry Men|1957|9
0057012|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|1964|9
0060196|The Good, the Bad and the Ugly|1966|9
0064116|Once Upon a Time in the West|1968|9
0066999|Dirty Harry|1971|8
0067116|The French Connection|1971|7
0068646|The Godfather|1972|10
0070355|Magnum Force|1973|7
0071562|The Godfather: Part II|1974|9
0073018|French Connection II|1975|7
0073486|One Flew Over the Cuckoo&#x27;s Nest|1975|9
0074483|The Enforcer|1976|7
0075148|Rocky|1976|8
0075686|Annie Hall|1977|8
0075931|Demon Seed|1977|4
0076759|Star Wars: Episode IV - A New Hope|1977|8
0078788|Apocalypse Now|1979|8
0079261|Hair|1979|6
0079522|Manhattan|1979|6
0080684|Star Wars: Episode V - The Empire Strikes Back|1980|8
0082971|Raiders of the Lost Ark|1981|8
0086190|Star Wars: Episode VI - Return of the Jedi|1983|9
0086250|Scarface|1983|9
0086383|Sudden Impact|1983|6
0088247|The Terminator|1984|7
0088559|MacGyver|1985|10
0088879|Il camorrista|1986|7
0088939|The Color Purple|1985|7
0092563|Angel Heart|1987|7
0094226|The Untouchables|1987|10
0095016|Die Hard|1988|7
0095953|Rain Man|1988|10
0097165|Dead Poets Society|1989|7
0097576|Indiana Jones and the Last Crusade|1989|8
0099685|Goodfellas|1990|9
0101272|The Addams Family|1991|5
0102926|The Silence of the Lambs|1991|9
0103064|Terminator 2: Judgment Day|1991|7
0104257|A Few Good Men|1992|8
0105236|Reservoir Dogs|1992|8
0105323|Scent of a Woman|1992|9
0106220|Addams Family Values|1993|6
0107290|Jurassic Park|1993|7
0108052|Schindler&#x27;s List|1993|10
0109830|Forrest Gump|1994|9
0110413|L&#xE9;on: The Professional|1994|10
0110912|Pulp Fiction|1994|9
0111161|The Shawshank Redemption|1994|10
0112573|Braveheart|1995|9
0113277|Heat|1995|8
0114369|Se7en|1995|9
0114814|The Usual Suspects|1995|9
0116830|Last Man Standing|1996|8
0117060|Mission: Impossible|1996|7
0118715|The Big Lebowski|1998|8
0119008|Donnie Brasco|1997|8
0119217|Good Will Hunting|1997|10
0120382|The Truman Show|1998|7
0120586|American History X|1998|9
0120737|The Lord of the Rings: The Fellowship of the Ring|2001|8
0120755|Mission: Impossible II|2000|6
0120815|Saving Private Ryan|1998|9
0120915|Star Wars: Episode I - The Phantom Menace|1999|8
0121765|Star Wars: Episode II - Attack of the Clones|2002|6
0121766|Star Wars: Episode III - Revenge of the Sith|2005|7
0122933|Analyze This|1999|7
0133093|The Matrix|1999|8
0137523|Fight Club|1999|7
0167260|The Lord of the Rings: The Return of the King|2003|9
0167261|The Lord of the Rings: The Two Towers|2002|8
0172495|Gladiator|2000|9
0212720|A.I. Artificial Intelligence|2001|6
0213149|Pearl Harbor|2001|8
0215750|Enemy at the Gates|2001|9
0240772|Ocean&#x27;s Eleven|2001|7
0253474|The Pianist|2002|10
0258463|The Bourne Identity|2002|8
0264464|Catch Me If You Can|2002|9
0265086|Black Hawk Down|2001|8
0266543|Finding Nemo|2003|8
0266697|Kill Bill: Vol. 1|2003|8
0268978|A Beautiful Mind|2001|9
0285331|24|2001|9
0289848|Analyze That|2002|6
0292506|The Recruit|2003|8
0293662|The Transporter|2002|7
0317919|Mission: Impossible III|2006|7
0325980|Pirates of the Caribbean: The Curse of the Black Pearl|2003|7
0338221|Mafia: The City of Lost Heaven|2002|10
0349903|Ocean&#x27;s Twelve|2004|6
0361748|Inglourious Basterds|2009|9
0368891|National Treasure|2004|7
0372183|The Bourne Supremacy|2004|8
0372784|Batman Begins|2005|9
0382932|Ratatouille|2007|7
0383574|Pirates of the Caribbean: Dead Man&#x27;s Chest|2006|7
0388482|Transporter 2|2005|7
0393162|Coach Carter|2005|8
0395169|Hotel Rwanda|2004|9
0396171|Perfume: The Story of a Murderer|2006|7
0399295|Lord of War|2005|8
0401792|Sin City|2005|8
0405094|The Lives of Others|2006|9
0407887|The Departed|2006|8
0434409|V for Vendetta|2005|9
0435651|The Giver|2014|7
